813452859	365	468
813452859	720	755
813452859	900	911
813452859	1128	1136
813452859	1363	1368
813452859	1401	1413
813452859	1599	1609
813452859	1727	1742
813452859	1785	1799
813452859	2013	2031
813452859	2147	2153
813452859	2527	2532
813494037	80	101
813494037	440	484
813494037	746	885
813494037	942	950
813494037	1291	1305
813494037	1432	1457
813494037	1536	1564
813494037	1711	1720
813494037	1806	1823
813494037	1944	2074
813494037	2282	2292
813494037	2329	2349
813494037	2863	2950
813494037	3015	3058
813547724	286	338
813547724	435	492
813547724	525	703
813547724	880	916
813552066	0	10
813552066	174	205
813552066	392	501
813552066	564	587
813552066	757	828
813552066	920	929
813552066	1086	1112
813552066	1138	1184
813552066	1275	1456
813552066	1496	1520
813552066	1777	1784
813552066	1822	1855
813552066	2134	2139
813552066	2172	2217
813552066	2245	2291
813552066	2319	2407
813552066	2752	2783
813552066	3133	3194
813552066	3245	3266
813552066	3406	3494
813552066	3816	3826
813552066	3901	3970
813552066	4127	4194
813552066	4229	4282
813552066	4311	4369
813552066	4398	4532
813552066	4819	4821
813552066	4848	4854
813552066	5344	5353
813552066	5439	5456
813552066	5771	5776
813552066	5982	6056
813552066	6274	6637
813552066	6668	6791
813552066	6821	6825
813552066	6903	6916
813552066	7020	7065
813552066	7170	7241
813552066	7434	7622
813552066	7650	7863
813601978	0	9
813601978	386	421
813601978	447	468
813601978	526	530
813601978	849	919
813601978	998	1025
813601978	1691	1714
813601978	3180	3205
813601978	3445	3470
813601978	4200	4218
813601978	4305	4317
813601978	4598	4636
813601978	4891	4898
813601978	4965	4990
813602345	48	86
813602345	142	180
813602345	550	553
813602345	742	793
813602345	934	977
813602345	1266	1327
813602345	1533	1561
813602345	2292	2307
813602345	2431	2477
813602345	2613	2622
813603860	0	77
813603860	236	251
813603860	977	1013
813603860	1223	1343
813603860	1582	1630
813603860	1701	1803
813603860	2044	2046
813603860	2125	2131
813603860	2173	2176
813603860	2362	2380
813603860	2478	2501
813603860	2912	3035
813603860	4160	4162
813603860	4278	4317
813603860	4552	4579
813603860	4763	4988
813603860	5031	5156
813603860	5214	5270
813603860	5325	5345
813623212	1	17
813623212	230	246
813623212	651	658
813623212	783	804
813623212	1009	1031
813623212	2862	2971
813623212	3108	3134
813623212	4007	4015
813623212	4358	4376
813623212	4858	4978
813623212	5418	5420
813623212	5499	5505
813623212	5660	5665
813623212	5988	6140
813623212	6456	6480
813623212	6845	6852
813623212	7202	7256
813714967	407	456
813714967	559	576
813714967	1426	1468
813714967	1513	1552
813714967	1670	1808
813714967	2189	2343
813714967	2466	2498
813714967	2866	2899
813714967	3187	3191
813714967	3718	3722
813714967	4122	4141
813714967	5399	5430
813714967	5628	5640
813949697	525	555
813949697	1032	1047
813949697	1786	1825
813949697	2269	2325
813949697	2507	2515
813949697	3537	3650
813949697	4855	4861
813949697	6293	6301
813949697	6527	6576
813949697	6806	6821
813949697	7947	7954
813949697	8548	8608
813949697	8711	8795
813949697	9244	9309
813949697	9369	9400
813949697	9854	9860
813949697	9889	9974
813949697	10173	10197
813953273	231	259
813953273	533	561
813953273	647	745
813953273	1249	1350
813953273	1699	1715
813953273	2566	2581
813953273	2883	3020
813953273	3089	3128
813953273	3188	3447
813953273	3500	3564
813953273	3710	3750
813953273	3981	4090
813953273	4226	4282
813953273	4679	4687
813953273	4824	4834
813953273	5028	5056
813953273	5121	5128
813953273	5194	5268
813953273	5294	5347
813953273	5377	5417
813953273	5459	5529
813953273	5590	5700
813953273	5729	5786
813953273	5830	5859
813953435	172	192
813953435	455	463
813953435	642	664
813953435	856	905
813953435	1268	1277
813953435	1508	1527
813953435	1738	1793
813953435	1872	1880
813953435	2016	2038
813953435	2135	2166
813953435	2642	2659
813953435	2961	2993
813992175	0	20
813992175	132	190
813992175	217	260
813992175	306	310
813992175	407	459
813992175	485	514
813992175	544	572
813992175	1001	1034
813992175	2664	2675
813992175	2848	2854
814251296	102	109
814371058	264	300
814403543	612	626
814403543	765	773
814403543	1565	1571
814403543	2427	2496
814403543	2810	2852
814403543	2903	2939
814403543	3217	3221
814403543	3262	3315
814403783	122	208
814403783	817	820
814403783	1100	1147
814403783	2019	2085
814403783	2114	2121
814403783	2193	2206
814403783	2271	2430
814403783	2496	2528
814403783	2743	2750
814403783	2938	2942
814403875	337	410
814403875	1098	1135
814403875	1328	1345
814403875	1933	1949
814403875	2108	2116
814404002	20	33
814404002	65	336
814404002	793	817
814404002	965	968
814404002	1024	1145
814404002	1187	1192
814404002	1300	1394
814404002	1454	1598
814404002	1631	1984
814404002	2017	2030
814404002	2120	2229
814404002	2330	2340
814404002	2380	2480
814404002	2653	2787
814404002	2816	2898
814404002	2977	3152
814404002	3241	3300
814404002	3475	3654
814404002	3775	3791
814404002	3841	3845
814404002	4008	4023
814404002	4067	4077
814404002	4117	4158
814404002	4239	4349
814404002	4451	4472
814404002	4546	4706
814427361	21	40
814427361	248	297
814427361	480	489
814427361	703	796
814427361	1516	1522
814427361	1570	1583
814427361	2023	2041
814427361	2357	2375
814427361	2597	2603
814427361	2667	2757
814427361	2822	2825
814427361	2998	3026
814427361	3209	3222
814427361	4026	4042
814427361	4176	4181
814427361	4228	4244
814427361	4269	4289
814427361	4522	4537
814427361	4568	4576
814427361	4776	4839
814435435	1013	1020
814435435	1160	1284
814435435	1339	1347
814435435	1598	1623
814435435	1652	1706
814435435	1771	1789
814435435	1847	1898
814435435	1987	1992
814435435	2212	2237
814630609	0	64
814630609	126	154
814630609	660	698
814630609	729	750
814630609	816	852
814630609	1032	1041
814630609	1202	1208
